prop_to_talk,average_points_TFT,average_points_TFT95
0.264,2.639,2.714
0.265,2.645,2.729
0.266,2.637,2.719
0.267,2.642,2.732
0.268,2.639,2.737
0.269,2.637,2.712
0.27,2.629,2.72
0.271,2.633,2.713
0.272,2.632,2.707
0.273,2.631,2.717
0.274,2.627,2.717
0.275,2.623,2.708
0.276,2.624,2.693
0.277,2.616,2.712
0.278,2.623,2.7
0.279,2.616,2.706
0.28,2.621,2.696
0.281,2.616,2.712
0.282,2.616,2.709
0.283,2.611,2.685
0.284,2.615,2.71
0.285,2.613,2.686
0.286,2.609,2.699
0.287,2.606,2.682
0.288,2.602,2.687
0.289,2.603,2.694
0.29,2.607,2.689
0.291,2.598,2.678
0.292,2.598,2.69
0.293,2.602,2.69
0.294,2.593,2.676
0.295,2.592,2.674
0.296,2.6,2.678
0.297,2.596,2.678
0.298,2.586,2.679
0.299,2.585,2.666
0.3,2.589,2.676
0.301,2.576,2.657
0.302,2.585,2.654
0.303,2.585,2.672
0.304,2.585,2.647
0.305,2.576,2.644
0.306,2.579,2.647
0.307,2.577,2.663
0.308,2.573,2.659
0.309,2.577,2.658
0.31,2.573,2.667
0.311,2.571,2.655
0.312,2.56,2.63
0.313,2.564,2.662
0.314,2.57,2.644
0.315,2.567,2.657
0.316,2.56,2.631
0.317,2.562,2.639
0.318,2.559,2.631
0.319,2.551,2.629
0.32,2.555,2.641
0.321,2.56,2.636
0.322,2.548,2.624
0.323,2.547,2.635
0.324,2.556,2.642
0.325,2.549,2.621
0.326,2.545,2.622
0.327,2.549,2.622
0.328,2.542,2.635
0.329,2.543,2.636
0.33,2.536,2.622
0.331,2.539,2.609
0.332,2.535,2.61
0.333,2.534,2.616
0.334,2.534,2.611
0.335,2.539,2.603
0.336,2.529,2.584
0.337,2.528,2.588
0.338,2.529,2.607
0.339,2.521,2.588
0.34,2.527,2.602
0.341,2.524,2.603
0.342,2.514,2.598
0.343,2.519,2.587
0.344,2.517,2.586
0.345,2.509,2.581
0.346,2.51,2.575
0.347,2.516,2.598
0.348,2.507,2.585
0.349,2.511,2.593
0.35,2.51,2.569
0.351,2.5,2.574
0.352,2.503,2.568
0.353,2.5,2.567
0.354,2.5,2.572
0.355,2.493,2.563
0.356,2.504,2.567
0.357,2.507,2.571
0.358,2.489,2.557
0.359,2.489,2.558
0.36,2.488,2.547
0.361,2.489,2.571
0.362,2.489,2.552
0.363,2.483,2.559
0.364,2.49,2.577
0.365,2.475,2.559
0.366,2.481,2.545
0.367,2.473,2.553
0.368,2.486,2.552
0.369,2.473,2.534
0.37,2.475,2.554
0.371,2.477,2.539
0.372,2.47,2.552
0.373,2.468,2.523
0.374,2.466,2.546
0.375,2.469,2.531
0.376,2.458,2.546
0.377,2.455,2.525
0.378,2.454,2.519
0.379,2.457,2.526
0.38,2.453,2.507
0.381,2.452,2.526
0.382,2.454,2.531
0.383,2.445,2.508
0.384,2.441,2.511
0.385,2.442,2.523
0.386,2.442,2.525
0.387,2.442,2.499
0.388,2.443,2.505
0.389,2.434,2.494
0.39,2.438,2.524
0.391,2.431,2.506
0.392,2.429,2.495
0.393,2.426,2.479
0.394,2.429,2.496
0.395,2.43,2.487
0.396,2.428,2.503
0.397,2.428,2.504
0.398,2.426,2.497
0.399,2.422,2.483
0.4,2.422,2.503
0.401,2.418,2.471
0.402,2.41,2.482
0.403,2.412,2.479
0.404,2.41,2.476
0.405,2.402,2.467
0.406,2.411,2.467
0.407,2.415,2.47
0.408,2.408,2.47
0.409,2.405,2.474
0.41,2.396,2.473
0.411,2.397,2.446
0.412,2.402,2.458
0.413,2.398,2.467
0.414,2.398,2.463
0.415,2.387,2.457
0.416,2.39,2.463
0.417,2.392,2.458
0.418,2.391,2.442
0.419,2.391,2.463
0.42,2.378,2.428
0.421,2.387,2.44
0.422,2.382,2.459
0.423,2.375,2.447
0.424,2.381,2.452
0.425,2.379,2.448
0.426,2.372,2.435
0.427,2.373,2.442
0.428,2.367,2.429
0.429,2.371,2.423
0.43,2.375,2.413
0.431,2.365,2.432
0.432,2.36,2.414
0.433,2.358,2.422
0.434,2.359,2.421
0.435,2.353,2.425
0.436,2.351,2.414
0.437,2.353,2.416
0.438,2.36,2.419
0.439,2.343,2.403
0.44,2.345,2.413
0.441,2.345,2.412
0.442,2.345,2.402
0.443,2.341,2.42
0.444,2.341,2.415
0.445,2.331,2.406
0.446,2.34,2.411
0.447,2.329,2.394
0.448,2.33,2.37
0.449,2.327,2.386
0.45,2.323,2.374
0.451,2.329,2.396
0.452,2.323,2.386
0.453,2.322,2.368
0.454,2.32,2.398
0.455,2.314,2.386
0.456,2.318,2.37
0.457,2.32,2.366
0.458,2.311,2.377
0.459,2.304,2.355
0.46,2.311,2.377
0.461,2.302,2.371
0.462,2.304,2.362
0.463,2.303,2.362
0.464,2.296,2.352
0.465,2.3,2.342
0.466,2.29,2.357
0.467,2.302,2.373
0.468,2.291,2.348
0.469,2.293,2.332
0.47,2.291,2.348
0.471,2.288,2.361
0.472,2.284,2.347
0.473,2.279,2.343
0.474,2.286,2.343
0.475,2.283,2.338
0.476,2.285,2.338
0.477,2.278,2.322
0.478,2.277,2.348
0.479,2.271,2.322
0.48,2.272,2.342
0.481,2.269,2.34
0.482,2.267,2.322
0.483,2.265,2.333
0.484,2.27,2.325
0.485,2.259,2.334
0.486,2.257,2.304
0.487,2.255,2.31
0.488,2.256,2.323
0.489,2.244,2.322
0.49,2.255,2.325
0.491,2.244,2.301
0.492,2.261,2.298
0.493,2.248,2.295
0.494,2.244,2.29
0.495,2.241,2.304
0.496,2.244,2.312
0.497,2.241,2.285
0.498,2.237,2.288
0.499,2.238,2.306
0.5,2.238,2.29
0.501,2.224,2.279
0.502,2.224,2.278
0.503,2.225,2.274
0.504,2.217,2.272
0.505,2.222,2.279
0.506,2.216,2.263
0.507,2.215,2.27
0.508,2.217,2.269
0.509,2.221,2.278
0.51,2.208,2.257
0.511,2.219,2.273
0.512,2.209,2.253
0.513,2.204,2.26
0.514,2.209,2.261
0.515,2.199,2.253
0.516,2.201,2.257
0.517,2.19,2.24
0.518,2.19,2.239
0.519,2.198,2.237
0.52,2.2,2.257
0.521,2.193,2.243
0.522,2.188,2.235
0.523,2.188,2.237
0.524,2.183,2.233
0.525,2.176,2.22
0.526,2.185,2.234
0.527,2.173,2.229
0.528,2.17,2.229
0.529,2.176,2.22
0.53,2.17,2.205
0.531,2.17,2.224
0.532,2.168,2.228
0.533,2.168,2.217
0.534,2.165,2.213
0.535,2.159,2.222
0.536,2.161,2.217
0.537,2.151,2.202
0.538,2.155,2.218
0.539,2.153,2.203
0.54,2.155,2.215
0.541,2.153,2.196
0.542,2.143,2.174
0.543,2.144,2.197
0.544,2.142,2.198
0.545,2.137,2.183
0.546,2.143,2.2
0.547,2.131,2.186
